doc_id,pub_title,authors,SEFA_authors,pub_date,publication_link,author_links,keywords_list,abstract
11,Corporate hedging and the cost of equity capital,"Hany Ahmed, Yilmaz Guney","['Hany Ahmed', 'Yilmaz Guney']",2022,https://pureportal.coventry.ac.uk/en/publications/corporate-hedging-and-the-cost-of-equity-capital,"['https://pureportal.coventry.ac.uk/en/persons/hany-ahmed', 'https://pureportal.coventry.ac.uk/en/persons/yilmaz-guney']","['Financial risk hedging', 'stock volatility', 'information asymmetry', 'cost of equity capital', 'UK firms']","Using a large panel of UK public firms, we examine the relationship between the financial risk hedging and the cost of equity capital. We hypothesize that firms utilizing financial derivative instruments reduce the stock return volatility which is priced in investors’ expectations. While financial risk hedging serves as a vehicle for firms to alleviate cash flows volatility, it also leads to economic benefits to the firm value in case of the presence of increasing asymmetric information. In addition, we hypothesize and test whether the nature of relation between financial risk hedging and cost of equity capital varies and is more negative or more ambiguous with economic shocks. Our results show that engaging in financial risk hedging enables firms to have a lower cost of capital. Consistent with the extant literature, we control for potential endogeneity problems and sample selection bias using instrumental variables and treatment effects approaches. Thus, our results are robust to a battery of sensitivity checks, including the use of multiple estimation methods and alternative proxies of cost of equity measures. Overall, our findings suggest that the value of financial hedging decisions increases during economic shocks, and if financial constraints become more severe and if cash flows volatility increases."
12,Corporate Social Responsibility & Firm Efficiency: Evidence from Endogenous Cost Inefficiency Stochastic Frontier Analysis,"T. Van Binh, Abay Mulatu, Boying Xu","['Abay Mulatu', 'Boying Xu']",1 May 2022,https://pureportal.coventry.ac.uk/en/publications/corporate-social-responsibility-amp-firm-efficiency-evidence-from,"['https://pureportal.coventry.ac.uk/en/persons/abay-mulatu', 'https://pureportal.coventry.ac.uk/en/persons/boying-xu']","['Stochastic frontier models', 'CSR', 'efficiency', 'Vietnamese  enterprises']","This paper investigates the relationship between firms’ performance in corporate social responsibility (CSR) and cost efficiency. We use a newly developed panel data model of stochastic frontier analysis that endogenizes cost efficiency. The dataset consists of 1,673 firms from ten provinces in Vietnam over three years: 2009, 2011 and 2013. Our results suggest that CSR can enhance cost efficiency of firms. This positive effect of CSR on efficiency can be masked if cost efficiency is treatedas exogenous or endogeneity is not handled appropriately. The upshot is that our results challenge the widely held view of the existence of a trade-off between CSR and firm efficiency."
13,Corporate Social Responsibility and Financial Performance of Product and Service-Based Firms Listed on London Stock Exchange,"Ibrahim Elmghaamez, Jesuleke Olarewaju",['Ibrahim Elmghaamez'],1 Apr 2022,https://pureportal.coventry.ac.uk/en/publications/corporate-social-responsibility-and-financial-performance-of-prod,['https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez'],"['Stock price', 'return on capital', 'corporate social responsibility', 'environmental disclosure', 'social disclosure', 'governance disclosure']","This paper examines the impact of corporate social responsibility (CSR) on the financial performance of firms listed on the London stock exchange (LSE). Using data for 50 firms spanning 2008-2017, our study reports that the environmental performance has positively influenced the stock price of both the product and service-based firms listed on LSE. Similarly, it enhanced the return on capital for product-based firms while reducing them for service-based firms. In contrast, social activities have a significant negative impact on the stock price of the product and service-based listed firms. Likewise, social performance has a significant negative impact on the return on capital of service-based firms listed on LSE. However, we find an insignificant relationship between governance disclosure and the stock price and the return on capital for product and service-based firms. This study has implications for policymakers of stock markets to issue rigid regulations to enforce all listed firms to disclose their environmental activities to stakeholders. "
14,"Diffusion theory, transnational antecedents and International Standards on Auditing adoption around the world","Ibrahim Elmghaamez, Mohamed Elmagrhi",['Ibrahim Elmghaamez'],Apr 2022,https://pureportal.coventry.ac.uk/en/publications/diffusion-theory-transnational-antecedents-and-international-stan,['https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez'],"['Auditing Standards', 'Regulation', 'Auditing History', 'Diffusion Theory', 'Political Factors', 'Educational Factors', 'Cultural Dimensions', 'Legal Factors']","This paper investigates the impact of four key transnational factors (i.e., cultural, educational, legal and political factors) on the diffusion and early adoption of International Standards on Auditing (ISAs). Using data for 162 countries over 1995–2014 (i.e., 3240 observations) and drawing on distinctive insights from diffusion theory, we found that common law countries tend to adopt ISAs faster than civil law countries. Our findings also show that vigorous legal enforcement and shareholder protection regimes promote the early adoption of ISAs, whereas robust judicial efficiency systems constrain the early adoption of ISAs. In addition, our results show that higher literacy rates and educational attainment simulate the earlier diffusion of ISAs. We also find that higher levels of individualism and uncertainty avoidance, but low levels of power distance cultural values, boost the early adoption of ISAs. Finally, our results report that countries with strong political stability and control of corruption tend to adopt ISAs faster than those with solid government effectiveness."
15,Dissecting the effect of family business exposure on entrepreneurial implementation intention,"Adah-Kole Emmanuel Onjewu, Mohamed Yacine Haddoud, Uchenna Tony-Okeke, Dongmei Cao, Witold Nowiński",['Uchenna Tony-Okeke'],6 May 2022,https://pureportal.coventry.ac.uk/en/publications/dissecting-the-effect-of-family-business-exposure-on-entrepreneur,['https://pureportal.coventry.ac.uk/en/persons/uchenna-tony-okeke'],"['Entrepreneurship', 'family business background', 'Theory of planned behaviour', 'Implementation intention', 'Nigeria']","Purpose - Scholars have typically examined family business exposure as an aggregate variable. However, it is probable that this trend oversimplifies the complexity of family exposure and its nuanced influence on entrepreneurial behaviour. Thus, to extend the theoretical boundary, this inquiry investigates distinct dimensions of family exposure in Nigeria while drawing on the theory of planned behaviour.Design/methodology/approach - Data were collected from five public universities in Nigeria. A sample of 1,314 respondents was analysed using a partial least squares structural equation modelling approach to determine the influence of alternate family business exposures.Findings - The results show that entrepreneurial exposure in the forms of parent, family member and work involvement have salient and distinctive influences on implementation intention to the extent that entrepreneurial self-efficacy, attitudes and subjective norms are uniquely impacted.Originality/value - This study offers novel insights on the predictors of entrepreneurial implementation intention through the distinctive effects of (1) family member exposure, (2) parent exposure and (3) work involvement exposure among students in the family firm context."
16,Do Female Board Members Influence Corporate Social Responsibility Performance?,"Isaiah Oino, Jonathan Liu",['Isaiah Oino'],Jul 2022,https://pureportal.coventry.ac.uk/en/publications/do-female-board-members-influence-corporate-social-responsibility,['https://pureportal.coventry.ac.uk/en/persons/isaiah-oino'],"['Corporate', 'social', 'responsibility', 'performance', 'female']","Caring for the environment has become everyone’s responsibility because of our significant negative impact. Considering this, companies are spending a substantial amount on corporate social responsibility (CSR) activities not only as part of corporate citizenship but also to enhance corporate image. Using a fixed-effect model on 2,260 companies’ annual data from 2012 to 2017, we analyze whether female board members influence CSR performance. The results indicate that the proportion of female board directors (PFBD) in Chinese firms is relatively small compared with the male. In other words, the boards members are predominantly male. The fixed effects model indicates that both the number and proportion of female directors are significant in influencing CSR performance. Surprisingly, we note that the average age of female board directors has a significant and negative impact on CSR performance. The results also indicate that the education level of the female director does play a significant role in CSR performance. This demonstrates that firms need to recruit educated board directors and with a right mix of age."
17,Do non-communicable diseases influence sustainable development in Sub-Saharan Africa? A panel autoregressive distributive lag model approach,"Judith Kabajulizi, Francis Awuku Darko","['Judith Kabajulizi', 'Francis Awuku Darko']",Mar 2022,https://pureportal.coventry.ac.uk/en/publications/do-non-communicable-diseases-influence-sustainable-development-in,"['https://pureportal.coventry.ac.uk/en/persons/judith-kabajulizi', 'https://pureportal.coventry.ac.uk/en/persons/francis-darko']","['Non-communicable diseases,', 'disability-adjusted life years,', 'sustainable development', 'adjusted net savings', 'panel ARDL', 'Sub-Saharan Africa']","The burden of non-communicable diseases (NCDs) in Sub-Saharan Africa has been on the surge during the last two decades. This study examines the relationship between NCDs, measured by disability adjusted life years (DALYs), and sustainable development in Sub-Saharan African (SSA) countries. We adopt a panel Autoregressive Distributed Lag model to evaluate the association between NCDs and sustainability of development, alternately measured by adjusted net savings and gross domestic savings, in 24 SSA countries, from 1990 to 2017. The results show that NCDs adversely affect sustainable development in the long run. The findings demonstrate an urgent need to mitigate the rapidly rising burden of NCDs. We argue that reducing the current trend of NCDs in the sub-region is necessary for countries to be on a sustainable development trajectory."
18,Editorial: New developments in corporate governance research,Loai Alsaid,['Loai Alsaid'],21 Jun 2022,https://pureportal.coventry.ac.uk/en/publications/editorial-new-developments-in-corporate-governance-research,['https://pureportal.coventry.ac.uk/en/persons/loai-alsaid'],"['Corporate Governance', 'New Developments']", 
19,Evolution of research in finance over the last two decades – A topographical view,"Yasser Alhenawi, M. Kabir Hassan, Rashedul Hasan",['Rashedul Hasan'],Jan 2022,https://pureportal.coventry.ac.uk/en/publications/evolution-of-research-in-finance-over-the-last-two-decades-a-topo,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan'],"['Finance', 'Literature review', 'Purposive sampling', 'Qualitative analysis', 'Topographical map']","A standard literature review focuses on the historical development of a particular topic. In contrast, the novel approach introduced in this study constructs a topographical map demarcating the relative importance, dispersion, and interrelationship among many finance topics. The final product is a bird’s eye view of the whole literature illustrating historical trends, concentrations, and territories. We apply qualitative analysis, purposive sampling, and syntactic analysis to 34,261 articles published in 52 journals over the past two decades. First, we analyze the proliferation and historical development of topics. We find that a few topics (e.g., insurance) are losing ground to newer ones (e.g., blockchain and digital currency). However, several topics seem to occupy a stable, sizeable portion of finance literature (e.g., investment strategies and portfolio management). Next, we analyze the relationship between topics and journals and report strong tendencies that are not always confined by the traditional scope of journals. For instance, papers addressing investment strategy and portfolio management issues seem to appear in numerous journals; while special topics such as blockchain, digital currencies, dividends, and real estate can only be found in a limited number of journals. We also report strong interdependence among topics. More than a third of the papers screened in this study discuss two topics or more. We identify a list of topics that are likely to be investigated jointly. Overall, our work demonstrates the historical evolution of the entire finance literature; and identifies fertile areas for future research."
20,Financial contagion effects of major crises in African stock markets,"Jaliyyah Bello, Jiaqi Guo, Mohammad Khaleq Newaz","['Jaliyyah Bello', 'Mohammad Khaleq Newaz']",Jul 2022,https://pureportal.coventry.ac.uk/en/publications/financial-contagion-effects-of-major-crises-in-african-stock-mark,"['https://pureportal.coventry.ac.uk/en/persons/jaliyyah-bello', 'https://pureportal.coventry.ac.uk/en/persons/mohammad-khaleq-newaz']","['Financial crisis', 'Contagion effect', 'African stock markets']","This study examines financial contagion effects in African stock markets during major crises over the period 2005 to 2020. We investigate contagion effects in individual stock markets and from a regional perspective using dynamic conditional correlations during the global financial crisis, European debt crisis, Brexit, and COVID-19. The empirical evidence confirms contagion effects in some individual markets. However, significant evidence of contagion is found only during the global financial crisis from the regional perspective. Our findings suggest that the regional impacts of crises differ due to the nature of those crises. We also find financial contagion increases in the country-level risk, market capitalization and export to GDP and decreases in corruption."
21,Future of education and research: a preliminary thematic analysis ,Simon Huston,"['Simon Huston', 'Huston, S.']",2 May 2022,https://pureportal.coventry.ac.uk/en/publications/future-of-education-and-research-a-preliminary-thematic-analysis,"['https://pureportal.coventry.ac.uk/en/persons/simon-huston', 'https://pureportal.coventry.ac.uk/en/persons/simon-huston']","['educational improvement', 'research foresight', 'manipulation', 'credentialisation', 'managerialism', 'commodification', 'phronesis']","There seems to be crisis in education and research.  The education landscape looks fragmented, expensive and yet fails millions.  A common perception is that, armed with cultural and social capital, the ‘sharp elbows of the middle classes’ game a commodified system to amass credentials. The media rails against learning institutions that inflate grades to cover up failings.  Some academics game the system or churn out indigestible papers of negligible practical social impact.  In an effort to unravel some of these issues and sketch the future of education and research, the study conducted a preliminary exploratory thematic investigation.  First, it chose six credible institutions in the field.  A brief review of associated web content chose prominent ‘sound bites’. In Phase II, the author identified relevant journal articles, initially using the search term <Future education research>.  Rather than structured or systematic, the review was focused.  Finally, in Phase III, the inquiry creatively and interactively grouped the collected secondary martial into themes, underpinned by reflection on decades of embedded teaching experience in a dozen schools or colleges and seven universities.  The convenience sampling and judgemental analysis generated ten themes from recent seminal discourse on the future of education and research: TENSION PARADOX,ECOSYSTEM ENRICHMENT, PHRONESIS vs. COMMODIFICATION, ACCESS vs. ELITECREDENTIALISATION, STRATEGIC COLLABORATION, NURTURING EMOTIONAL & SOCIALWELLBEING, FUNDING/RECONFIGURING CAPITALISM, JUDICIOUS TECHNOLOGY, INVESTMENTIN PEOPLE, DEMOCRATISING DIALOGUE.  The most salient dimensions were PHRONESIS vs. COMMODIFICATION and STRATEGICCOLLABORATION.  In effect, much recent managerialist educational reform (notwithstanding its transformative gloss)seems, actually, fundamentally misguided. Second, impactful research in, for example, deep tech, resilience or health calls for strategic interdisciplinary collaboration."
22,Gender Diversity and Financial Statement Fraud,"Yang Wang, Mei Yu, Simon Gao",['Mei Yu'],1 Mar 2022,https://pureportal.coventry.ac.uk/en/publications/gender-diversity-and-financial-statement-fraud,['https://pureportal.coventry.ac.uk/en/persons/mei-yu'],"['Gender diversity', 'Financial statement fraud', 'Bivariate probit model', 'Anti-corruption campaign', 'State-owned enterprises']","This study investigates the role of gender diversity in fraud commission and detection with a view to identifying whether companies with more female corporate leaders are less likely to be involved in financial statement fraud. Using a bivariate probit model, the role of female corporate leaders in financial statement fraud commission and detection is examined for Chinese listed companies from 2007 to 2018. The representation of female corporate leaders increases the likelihood of fraud detection, thus reducing firms’ propensity to engage in fraud. The finding confirms that women are risk averse and more committed to ethical practices than men in corporate leadership positions. Moreover, this impact of gender diversity is contingent upon the nature of ultimate controllers of listed companies: more female representation in top leadership roles can mitigate fraud commission or detect fraud effectively in non-state-owned enterprises, but not in state-owned enterprises. In addition, the recent anti-corruption campaign initiated by Chinese President Jinping Xi is a powerful form of public governance. Female corporate leaders play a more positive role in mitigating fraud commission and detecting fraud commission in the post-campaign period than in the pre-campaign period."
23,IFRS 8 and the cost of capital in Europe,"Ahmed Saleh, Ahmed Aboud, Yasser Eliwa",['Ahmed Saleh'],19 Jan 2022,https://pureportal.coventry.ac.uk/en/publications/ifrs-8-and-the-cost-of-capital-in-europe,['https://pureportal.coventry.ac.uk/en/persons/ahmed-saleh'],"['IFRS 8', 'segment reporting quality', 'the cost of debt capital', 'the cost of equity capita', 'the European Union', 'the management approach']","This study examines segment reporting information usefulness after the adoption of IFRS 8 in 18 European Union countries. Specifically, 1) we introduce a new comprehensive measure of segment reporting quality that reflects four different dimensions of segment information, 2) we investigate the impact of segment reporting quality on the cost of equity and debt capital after the adoption of IFRS 8, and 3) we investigate the moderating role of the country-level enforcement system on the association between segment reporting quality and the cost of equity and debt capital after the adoption of IFRS 8. Using a self-constructed segment reporting quality measure and a sample of 884 firm-year observations over the period of 2007 to 2011, we provide evidence that investors and lending institutions find no change in the usefulness of segment reporting after the adoption of IFRS 8. Our study is original in using a comprehensive measure of segment reporting quality. Furthermore, our study is the first to examine the relationship between segment reporting quality and the cost of debt capital after the adoption of IFRS 8 and the moderating role of the country-level enforcement system. Our findings provide useful insights to regulator and accounting standard-setting bodies about segment reporting."
